user_id,total_jobs,on_time_deliveries,cancelled_jobs,income_volatility,repeat_customers,peer_ratings,jobs_last_6m,jobs_last_12m,transaction_volume,customer_feedback_score,lifescore
1,122,207,27,0.76230262450096,11,4.56,121,258,94321,2,610.8842508559546
2,455,451,37,0.03893801668766561,17,4.64,231,446,69078,6,593.1626311091352
3,368,477,30,0.8371196278306522,65,3.54,110,210,83598,4,558.5883923693992
4,290,87,26,0.6195262000363033,73,2.72,151,68,71902,9,300.03140469673684
5,126,413,4,0.5633953507126401,78,3.59,204,384,27465,2,1000.0
6,91,319,24,0.6246140481145316,93,3.08,235,402,33286,8,1000.0
7,208,391,2,0.8644332468683641,16,3.23,37,149,55795,1,600.744033940154
8,40,358,32,0.5869365065589071,67,4.43,48,128,41178,6,1000.0
9,122,466,3,0.5809503798881793,70,2.69,224,50,80183,1,1000.0
10,141,154,24,0.9906791570657658,61,4.57,169,408,50986,2,496.0424679648254
11,486,201,19,0.756730167068568,40,3.57,116,331,44201,3,262.2884493236576
12,234,307,33,0.4422938054511353,94,3.99,93,340,44315,9,731.6918665001845
13,350,75,25,0.7073970000329277,33,2.72,40,276,76396,5,173.48000597299549
14,478,499,4,0.3892304716917885,69,3.34,85,17,56178,2,515.2376765224545
15,107,441,34,0.228875462483499,44,2.72,92,192,11745,5,1000.0
16,392,394,27,0.5968518768877594,57,4.9,153,489,73354,5,537.583442919497
17,119,212,28,0.9281820981139515,50,4.52,134,143,80637,1,661.1380798745422
18,379,309,8,0.9291395200154627,33,3.65,35,190,6028,3,301.9663530252264
19,171,454,37,0.3419052781054903,43,3.06,112,413,99261,5,933.6807754807083
20,150,333,49,0.527677466221695,14,4.83,229,432,49566,9,914.858602713842
21,169,316,5,0.2116358985698612,77,3.36,34,364,44722,1,787.0726372032963
22,328,358,18,0.9956311094988834,69,2.9,208,81,87623,8,481.84858459107244
23,277,25,43,0.9811179078679357,49,3.91,176,122,75974,1,133.6014016558685
24,363,76,10,0.6495089297074473,31,4.86,16,116,84692,9,271.5568494191223
25,433,347,1,0.8044140596774734,66,2.51,55,299,85084,6,368.51224734888706
26,313,240,46,0.7151001612837,2,3.1,125,322,40879,1,296.6360289777748
27,405,167,43,0.5931582190394682,85,4.85,181,126,25767,8,423.7088970071116
28,211,213,43,0.053347996988897695,85,2.93,248,129,69099,5,581.4665124051166
29,463,66,8,0.45476434255266107,73,2.78,156,156,49657,7,248.42055828514975
30,296,274,20,0.6747863021674105,50,3.93,156,336,9498,7,459.22837578054873
31,180,73,23,0.6775316138836847,66,4.65,192,424,74667,7,402.00176686412175
32,479,86,33,0.3731226184223836,75,3.69,143,219,26107,6,255.96456833589193
33,333,162,21,0.9416919866580306,92,4.99,17,305,29793,8,410.42983854091864
34,41,363,2,0.167357032236781,47,4.2,95,407,3696,9,1000.0
35,272,77,11,0.5003594462155606,16,2.69,204,112,54839,2,203.5812451515577
